Date,Close,High,Low,Open,Volume
02-01-2014,17.17333221,17.29441795,17.13886989,17.25250404,234684800
03-01-2014,16.79611206,17.19103617,16.77903509,17.16495728,392467600
06-01-2014,16.88770103,16.97680668,16.56697941,16.68651319,412610800
07-01-2014,16.76692772,16.95072854,16.70110703,16.89981102,317209200
08-01-2014,16.873106,16.93830488,16.7250095,16.72873363,258529600
09-01-2014,16.65763283,16.97866441,16.62130677,16.97680068,279148800
10-01-2014,16.54648399,16.79051756,16.48966691,16.76040116,304976000
13-01-2014,16.63310623,16.84329759,16.45147762,16.45240948,378492800
14-01-2014,16.96407127,16.97462685,16.69302535,16.71041238,332561600
15-01-2014,17.30467224,17.39284769,17.1277012,17.18545017,391638800
16-01-2014,17.2081089,17.28883274,17.12831527,17.22828986,229278000
17-01-2014,16.78648567,17.1404277,16.76257892,17.12211046,426739600
21-01-2014,17.04727936,17.07832596,16.77871729,16.79641438,328526800
22-01-2014,17.12302971,17.30248279,17.00815367,17.10440076,379985200
23-01-2014,17.26803017,17.27796561,16.91502007,17.07429395,403239200
24-01-2014,16.9541378,17.25064084,16.91315409,17.20034349,429354800
27-01-2014,17.09167862,17.22518368,16.94420391,17.07832911,554878800
28-01-2014,15.72559166,15.98949452,15.58804905,15.79575827,1065523200
29-01-2014,15.54706669,15.75260211,15.48093594,15.6464195,502810000
30-01-2014,15.51694584,15.72558686,15.4213205,15.60263739,678501600
31-01-2014,15.54240704,15.57128151,15.32352213,15.37412956,464797200
03-02-2014,15.57128334,15.76377932,15.50204859,15.60481548,401464000
04-02-2014,15.79668522,15.81748797,15.60946873,15.7054058,376681200
05-02-2014,15.91467094,15.99818873,15.71782903,15.72745441,328344800
06-02-2014,16.00742722,16.0383494,15.8606294,15.93090573,257765200
07-02-2014,16.23137283,16.33288162,16.15953687,16.28446999,370280400
10-02-2014,16.52215195,16.6158526,16.17889704,16.19951071,345559200
11-02-2014,16.73985672,16.79576287,16.53808681,16.5727571,282256800
12-02-2014,16.73860359,16.8522941,16.6548995,16.77077515,308100800
13-02-2014,17.00439644,17.01751393,16.68487778,16.69924464,307398000
14-02-2014,16.9906559,17.0528122,16.90382923,16.94318171,272924400
18-02-2014,17.05312157,17.21553393,17.04125177,17.05343349,260251600
19-02-2014,16.78388977,17.08123183,16.68956526,17.01439167,313768000
20-02-2014,16.58961296,16.7723287,16.52246089,16.64708204,305858000
21-02-2014,16.40534592,16.69644124,16.38504416,16.64084535,278784800
24-02-2014,16.4771843,16.55120875,16.31695866,16.33975915,288909600
25-02-2014,16.30570602,16.54026793,16.2725987,16.5343347,231952000
26-02-2014,16.15859985,16.39753542,16.1039414,16.35412125,276217200
27-02-2014,16.48092461,16.51559321,16.11799179,16.15203655,301882000
28-02-2014,16.43625832,16.63958773,16.30757549,16.52495983,371968800
03-03-2014,16.48374176,16.57400628,16.32913579,16.34818819,238781200
04-03-2014,16.59242249,16.63615022,16.48404308,16.58492797,259140000
05-03-2014,16.62742043,16.70206707,16.52653544,16.58244495,200062800
06-03-2014,16.57712364,16.69237542,16.49435534,16.64083956,185488800
07-03-2014,16.56744194,16.61554163,16.43032712,16.58774369,220729600
10-03-2014,16.58243942,16.65771156,16.50185623,16.50248175,178584000
11-03-2014,16.74391556,16.82668389,16.63459864,16.72392739,279224400
12-03-2014,16.76015091,16.78326332,16.61616542,16.69456178,199326400
13-03-2014,16.57400703,16.85541937,16.52746861,16.78608213,257742800
14-03-2014,16.38785553,16.58150206,16.33507029,16.51591125,237199200
17-03-2014,16.45187759,16.55276084,16.42407966,16.48186234,199544800
18-03-2014,16.59742546,16.61522849,16.40377899,16.42564203,209647200
19-03-2014,16.59305954,16.74860129,16.52247126,16.62429366,224756000
20-03-2014,16.51309586,16.63709319,16.47093106,16.55026319,208398400
21-03-2014,16.64334297,16.670829,16.43907768,16.61398373,374046400
24-03-2014,16.84074211,16.88165756,16.71174727,16.81669225,355700800
25-03-2014,17.02188492,17.04562284,16.85322409,16.91288165,282293200
26-03-2014,16.8591671,17.14713985,16.83043338,17.0696809,299768000
27-03-2014,16.78669739,16.9128815,16.71361208,16.86665503,222031600
28-03-2014,16.76796341,16.8329287,16.68644445,16.81356439,200564000
31-03-2014,16.76421356,16.89133347,16.73891268,16.84198441,168669200
01-04-2014,16.9175663,16.92443864,16.7651472,16.79606771,200760000
02-04-2014,16.94568253,16.97472984,16.87415848,16.94037314,180420800
03-04-2014,16.82825089,16.94412658,16.79233289,16.90945795,162344000
04-04-2014,16.61054039,16.86602953,16.57181177,16.8600963,275251200
07-04-2014,16.3497448,16.58180965,16.3003974,16.49185708,289850400
08-04-2014,16.34881592,16.4325217,16.20076868,16.40347438,243888400
09-04-2014,16.56370163,16.56901101,16.30446424,16.32382857,206169600
10-04-2014,16.35005951,16.62366366,16.34037652,16.57493845,239652000
11-04-2014,16.2291851,16.32975644,16.1520381,16.21013105,271717600
14-04-2014,16.2938385,16.30882921,16.15422495,16.30070917,205674000
15-04-2014,16.17765427,16.29259249,15.97057664,16.24980383,266490000
16-04-2014,16.21044731,16.2754126,16.05834009,16.18046256,214765600
17-04-2014,16.39565849,16.48373785,16.21637886,16.24136615,284334400
21-04-2014,16.59024429,16.6205393,16.3650501,16.40815234,182548800
22-04-2014,16.60680008,16.6108601,16.44438601,16.50091768,202563200
23-04-2014,16.38972473,16.58899419,16.38035366,16.52434083,394940000
24-04-2014,17.7333889,17.80303973,17.51350572,17.74713191,759911600
25-04-2014,17.8636322,17.86519182,17.6143898,17.63219116,390275200
28-04-2014,18.55545044,18.60729823,17.88268181,17.89049159,669485600
29-04-2014,18.50048065,18.6144831,18.41240294,18.54452034,337377600
30-04-2014,18.4305191,18.72223994,18.42146163,18.51016486,456640800
01-05-2014,18.47392845,18.57762236,18.31401315,18.49016852,244048000
02-05-2014,18.50829506,18.55889518,18.41865603,18.50080054,191514400
05-05-2014,18.77001953,18.77127056,18.42770204,18.43207565,287067200
06-05-2014,18.56544685,18.87777967,18.56544685,18.79626072,374564400
07-05-2014,18.50048065,18.65539854,18.35680705,18.59168261,282864400
08-05-2014,18.4675045,18.66914335,18.41756613,18.47566989,230297200
09-05-2014,18.39055634,18.41285517,18.22691976,18.35914776,291597600
12-05-2014,18.61951447,18.64558232,18.44896889,18.45179692,213208800
13-05-2014,18.64871788,18.67321572,18.55261189,18.59344049,159737200
14-05-2014,18.65217972,18.76304987,18.58528156,18.60695306,166404000
15-05-2014,18.49357605,18.73792892,18.4690782,18.67825514,230846000
16-05-2014,18.76649857,18.7671259,18.38614889,18.4875956,276256400
19-05-2014,18.98887634,19.07493332,18.76085428,18.77718674,317755200
20-05-2014,18.99263763,19.04571601,18.86763407,18.98635592,234836000
21-05-2014,19.04289055,19.05513863,18.90940793,18.96499899,196859600
22-05-2014,19.07304382,19.15407709,18.97348244,19.05200134,200760000
23-05-2014,19.28850174,19.30734688,19.04791799,19.07241583,232209600
27-05-2014,19.64969254,19.65691525,19.33561358,19.3434653,348866000
28-05-2014,19.59881592,19.78160962,19.59159153,19.66194505,315481600
29-05-2014,19.95591545,20.00271379,19.71690174,19.71941443,376474000
30-05-2014,19.88116646,20.23199131,19.75239386,20.03757691,564020800
02-06-2014,19.74454308,19.93864382,19.55138501,19.91131962,369350800
03-06-2014,20.02376366,20.06145395,19.73198513,19.73858051,292709200
04-06-2014,20.25240707,20.34883011,19.97884476,20.02061774,335482000
05-06-2014,20.33187294,20.39531742,20.1830005,20.29575434,303805600
06-06-2014,20.27596283,20.45467547,20.24141592,20.41195982,349938400
09-06-2014,20.60040665,20.6399806,20.1716902,20.38055171,301660000
10-06-2014,20.72132683,20.89721144,20.57182541,20.82685793,251108000
11-06-2014,20.63558578,20.83345558,20.54984249,20.69494588,182724000
12-06-2014,20.29041481,20.6927498,20.20467151,20.675161,218996000
