Date,Close,High,Low,Open,Volume
12-03-2014,42.38192749,42.41119745,42.01606139,42.22094831,17932100
13-03-2014,42.01605606,42.68925105,41.84775801,42.44046202,17192500
14-03-2014,41.56238556,42.09654969,41.43067355,41.78922353,18635800
17-03-2014,42.13314056,42.22094764,41.74532061,41.86239765,13581400
18-03-2014,42.48435974,42.55753182,42.16239588,42.30874284,12554800
19-03-2014,42.65997314,43.12096507,42.35996315,42.43313802,21450700
20-03-2014,43.98440933,44.26246826,42.53558036,42.70387838,33736500
21-03-2014,44.02832413,44.78201017,43.903931,44.60639322,35144100
24-03-2014,44.68686676,44.77467381,44.1600189,44.17465387,25810500
25-03-2014,44.58444214,44.98689428,44.31370201,44.71615415,24053500
26-03-2014,43.83074951,44.92834755,43.82343063,44.81127054,22745200
27-03-2014,43.84539032,44.30638237,43.18683304,43.8600253,24632600
28-03-2014,43.93320084,44.33565298,43.6697768,44.05759397,14708700
31-03-2014,44.4234581,44.65029607,44.34296712,44.51126797,15216700
01-04-2014,44.3941803,44.84785616,44.17466125,44.59906716,14584400
02-04-2014,44.53409576,44.74763625,44.32792029,44.45309745,14012200
03-04-2014,44.66664505,44.7697328,44.38683343,44.65928284,11925200
04-04-2014,44.04074478,44.96117497,44.03337977,44.93172053,16966900
07-04-2014,43.44430542,44.18064958,43.32649047,43.95238188,18685700
08-04-2014,43.33384705,43.459027,42.89204173,43.2970304,16956500
09-04-2014,43.64311981,43.77566199,43.07613446,43.51793984,15308400
10-04-2014,42.26614761,43.73147063,42.2514204,43.7020162,29977200
11-04-2014,40.71982956,41.27208765,40.16757147,40.63146905,47241300
14-04-2014,40.46947861,41.19109562,40.11603371,41.12482453,31081500
15-04-2014,40.35165024,40.9701793,40.02029488,40.56519067,26691400
16-04-2014,40.6903801,40.75665119,40.27066412,40.49893184,27049400
17-04-2014,40.66091919,40.91863848,40.5062848,40.74927969,17955400
21-04-2014,40.52103424,40.80084592,40.4915826,40.69039313,12384800
22-04-2014,41.0953598,41.29417302,40.4547385,40.52837458,16257600
23-04-2014,41.2720871,41.32363096,40.91128005,41.08800107,11379000
24-04-2014,41.37518311,41.42672698,40.94810489,41.28682258,15360600
25-04-2014,41.01438522,41.49300742,40.97020355,41.46355577,15937700
28-04-2014,40.8597374,41.01436899,40.26329763,40.96282513,21394100
29-04-2014,41.30889893,41.46353331,40.91863749,41.03645242,13453400
30-04-2014,41.22055817,41.4930048,41.02910986,41.41200928,14388100
01-05-2014,41.02910233,41.37518221,40.86710569,41.17636893,12744600
02-05-2014,40.92601395,41.50772376,40.82292339,41.11010001,15153800
05-05-2014,39.92457581,40.30747505,39.54167656,39.67421871,25232300
06-05-2014,39.27659225,39.80676088,39.26186504,39.79203366,25327400
07-05-2014,39.79940414,39.85094801,39.20296713,39.43123204,18502600
08-05-2014,40.02766037,40.1528375,39.80675773,39.90984544,16090800
09-05-2014,39.76993942,39.99084488,39.52694736,39.9245738,12366500
12-05-2014,40.24121857,40.27803522,39.78468306,39.96140694,12825500
13-05-2014,40.21912384,40.37375827,40.13076331,40.30748718,12310700
14-05-2014,40.02766037,40.27801744,39.98347872,40.23383579,10325800
15-05-2014,39.40176773,39.90984691,39.2839528,39.90984691,19763000
16-05-2014,39.25450516,39.40177173,39.00414805,39.33550065,19992400
19-05-2014,39.63740921,39.69631528,39.07042385,39.08515107,12068900
20-05-2014,39.55640793,39.79203783,39.32814023,39.55640793,16888200
21-05-2014,39.85094452,40.20438937,39.74785679,39.79940065,13210200
22-05-2014,40.16756821,40.20438485,39.77730675,39.88775668,11800900
23-05-2014,40.15284348,40.19702513,39.88039694,40.16757069,10876500
27-05-2014,40.60201263,40.81555309,40.27065723,40.31483889,14503700
28-05-2014,40.83029175,40.94074171,40.49893625,40.56520735,11374900
29-05-2014,41.02910233,41.17636893,40.78610738,41.05119175,11741000
30-05-2014,40.91863251,41.14690014,40.72718432,40.92599752,11991900
02-06-2014,40.75664139,40.97754685,40.51364932,40.97754685,9440000
03-06-2014,40.94073105,40.98491271,40.56519679,40.56519679,9131500
04-06-2014,40.99964142,41.03645806,40.68301322,40.88182647,9727800
05-06-2014,41.69916916,41.72125858,40.85973729,41.16900048,16803400
06-06-2014,41.9495163,42.06733122,41.71388645,41.79488193,15399800
09-06-2014,42.28087997,42.46496601,41.89798349,41.90534569,11999700
10-06-2014,42.63433075,42.66378238,42.25879363,42.31770252,11609200
11-06-2014,42.17043686,42.55333622,41.95689635,42.32506848,14232200
12-06-2014,42.0010643,42.28087301,41.87588435,42.02315372,11670200
13-06-2014,42.0010643,42.46495902,41.88324937,41.99369929,12040800
16-06-2014,41.87589264,41.93480152,41.47826892,41.86116542,11199100
17-06-2014,42.28087997,42.40605994,41.73598687,41.81698518,11200500
18-06-2014,42.5459671,42.56805934,41.93480287,42.18516002,13729400
19-06-2014,42.19252777,42.4797016,42.12625667,42.4797016,11624400
20-06-2014,42.37660599,42.5386026,42.22933659,42.47969372,17124800
23-06-2014,42.84786606,42.86995829,42.14834135,42.36924404,16007700
24-06-2014,42.28087997,42.79632144,42.19251946,42.61960042,12322900
25-06-2014,42.36188126,42.51651567,41.87589419,42.13361635,14836600
26-06-2014,42.25878525,42.33242134,41.67707276,42.22196861,11854400
27-06-2014,42.36188126,42.48706123,42.14834357,42.21461466,10178600
30-06-2014,42.42814636,42.54596131,42.25142535,42.2956042,11549000
01-07-2014,42.68768311,42.99911114,42.3243537,42.3762579,14472200
02-07-2014,42.24276733,42.62092672,42.13154249,42.4652142,19189900
03-07-2014,42.30208969,42.74698629,42.26501568,42.43555839,12599800
07-07-2014,42.02033615,42.25761611,41.82013587,42.18346524,13916100
08-07-2014,41.3455658,41.87202692,41.24917394,41.7830459,18343400
09-07-2014,41.53834534,41.61249334,41.234334,41.434537,10914300
10-07-2014,41.19726944,41.38264232,40.75237284,40.82652368,12436600
11-07-2014,41.37523651,41.45680105,40.92292612,40.99707699,10230000
14-07-2014,41.73855972,42.14637951,41.67182537,41.91651611,14004400
15-07-2014,43.20671082,43.51813589,42.82854856,42.96943376,36178000
16-07-2014,43.53297806,43.73318116,43.23638307,43.38467915,20507500
17-07-2014,42.90270233,43.6441939,42.82855148,43.42174699,17013500
18-07-2014,43.17706299,43.36243592,42.93237219,43.25121386,12803300
21-07-2014,43.18447113,43.31052334,42.93236388,43.0954901,9141400
22-07-2014,43.50331497,43.59970968,43.28086804,43.31794205,10375200
23-07-2014,43.74801254,43.88889495,43.39209685,43.57005328,11122100
24-07-2014,43.87405777,44.00752649,43.74059188,43.79990974,9844100
25-07-2014,43.75541306,43.94820243,43.62936086,43.68867871,10500600
28-07-2014,43.88888168,43.94078586,43.50330576,43.7035088,12382800
29-07-2014,43.48106003,43.8443921,43.33276117,43.8443921,13498800
30-07-2014,43.68125916,43.95561019,43.4588123,43.76282366,11815700
31-07-2014,42.76183319,43.51074154,42.75441952,43.48849769,15955900
01-08-2014,41.87944031,42.62834832,41.50128088,42.55419747,23915400
04-08-2014,42.00550842,42.25019923,41.77564496,42.19829503,13543900
05-08-2014,41.56802368,41.96842703,41.22693537,41.84237481,16863300
06-08-2014,41.69407654,42.03516203,41.39748157,41.44196926,12190600
07-08-2014,41.45679855,42.03516114,41.28625581,41.99067345,11743800
08-08-2014,41.77563477,41.79046494,41.25659011,41.441963,12213200
11-08-2014,41.76079941,41.95358877,41.64957456,41.92392844,9066800
12-08-2014,41.78305054,41.93134942,41.61992431,41.69407234,11289600
13-08-2014,42.05740356,42.14638176,41.90168818,42.03515689,7012600
14-08-2014,42.25018311,42.26501327,42.0425664,42.09447058,8275900
15-08-2014,42.07965851,42.63577734,41.81272101,42.44299073,12727400
18-08-2014,42.43555832,42.58385719,42.08705641,42.16120726,8881400
19-08-2014,42.68026352,42.79890208,42.51713444,42.70992104,9040500
20-08-2014,42.73958206,42.89529464,42.55420913,42.57645298,8121400
21-08-2014,43.37726593,43.57746904,42.70992225,42.75441277,12745500
22-08-2014,43.36985397,43.80733422,43.25121541,43.33277712,10228600
25-08-2014,44.000103,44.36343505,43.64418744,43.73316562,13996800
26-08-2014,44.29671097,44.45242353,44.0371872,44.17065592,10281100
27-08-2014,44.18548203,44.45241944,44.14099151,44.37826859,11410900
28-08-2014,43.86663818,44.02235072,43.60711728,43.93337253,9096100
29-08-2014,44.08168411,44.22998302,43.91855503,44.00011957,8897900
02-09-2014,44.24481583,44.27447618,43.85924257,44.08910322,8671100
03-09-2014,44.26704788,44.76384588,44.08908866,44.50432496,11791800
04-09-2014,44.27446365,44.59330527,44.06684691,44.2151458,9811900
05-09-2014,44.4227562,44.4227562,43.91112807,44.20772298,9600900
08-09-2014,44.4079361,44.65262971,44.29671404,44.37086208,8090000
09-09-2014,43.7924881,44.25221203,43.58486856,44.21513802,14868700
10-09-2014,43.91113281,44.16324007,43.68868307,43.85922863,9153800
11-09-2014,44.31153488,44.37085556,43.72575869,43.88147124,11467000
12-09-2014,44.51173782,44.79350541,44.30412109,44.3411951,14359100
15-09-2014,44.44500351,44.48208035,44.08167423,44.32636497,10685600
16-09-2014,44.48207855,44.6377911,44.20772465,44.274459,10947900
17-09-2014,44.71936035,44.9269771,44.35602822,44.45242292,15091800
18-09-2014,45.46827316,45.52759386,44.88991051,44.88991051,16973700
19-09-2014,45.31255341,45.86125562,45.2161587,45.77969392,18739300
22-09-2014,45.16424942,45.56465553,45.0826849,45.18649326,13225200
23-09-2014,45.18648529,45.52757349,45.06043311,45.09750711,14328800
24-09-2014,45.69811249,45.70552616,45.24580231,45.36444082,13728200
25-09-2014,44.60071945,45.60173195,44.60071945,45.59431828,16340100
26-09-2014,44.90472794,45.142005,44.72676872,44.73418522,11948900
29-09-2014,44.73418808,44.86024029,44.28929144,44.51173834,10686500
30-09-2014,44.66745377,45.03819955,44.58588924,44.7860923,14384800
01-10-2014,44.31895065,44.78609113,44.28929031,44.66745259,18995800
02-10-2014,43.92331314,44.40853103,43.7516214,44.15472523,24559100
03-10-2014,45.01318359,45.08036756,44.08007447,44.2293725,18321100
06-10-2014,44.92361069,45.38643206,44.78924273,45.37150198,11578000
07-10-2014,44.24430466,44.72951972,44.1845843,44.72951972,14542000
08-10-2014,45.08784103,45.11023475,44.17712548,44.31149344,15834100
09-10-2014,44.10248566,45.03559509,43.9606512,45.03559509,19189500
10-10-2014,43.68444061,44.65487361,43.67697414,44.06514791,16689400
13-10-2014,43.41571808,44.15474204,43.37839427,43.66952397,17169300
14-10-2014,43.28881073,43.68444819,41.84808965,42.31837472,29096800
15-10-2014,41.45243835,42.83344155,40.50439915,42.56470567,37866900
16-10-2014,41.11651993,41.78835676,40.51932784,40.87017776,31965100
17-10-2014,41.9525795,42.38554058,41.48229178,41.60172962,20183500
20-10-2014,42.27357864,42.36315633,41.85554471,41.87793842,10807600
21-10-2014,43.24401855,43.30373607,42.60950536,42.72147677,14020400
22-10-2014,42.88570404,43.49035705,42.87823757,43.32613174,13750700
23-10-2014,43.34106445,43.74416553,43.2514839,43.38585188,12641900
24-10-2014,43.8486824,43.87853974,43.29628033,43.29628033,13758000
27-10-2014,43.77401733,43.88599157,43.48288773,43.63218576,11087100
28-10-2014,44.51304626,44.55783369,43.9009268,43.94571422,13625000
29-10-2014,44.25923157,44.62500874,43.86359137,44.50557089,16712100
30-10-2014,44.33387756,44.55035955,43.98302764,43.99795773,14709800
31-10-2014,45.14756393,45.19235421,44.6922061,44.87882798,18347600
03-11-2014,45.44615936,45.64771133,45.05798552,45.37897537,11841200
04-11-2014,44.97587204,45.06544974,44.35628605,44.96840842,15295800
05-11-2014,45.64770508,45.70742259,45.08037307,45.38643278,14063800
06-11-2014,45.70742035,45.7671407,45.25952908,45.59544895,10421600
07-11-2014,45.88657379,45.94629129,45.4312161,45.58797774,12384600
10-11-2014,46.2299614,46.2299614,45.68502598,45.72234977,10801000
11-11-2014,45.81193542,46.20010925,45.75221791,46.06574128,12539800
12-11-2014,45.20728683,45.41630244,44.96094458,45.10277619,17219600
13-11-2014,44.9609375,45.25953361,44.78178211,45.16248945,12240400
14-11-2014,44.99824905,45.25205482,44.92360147,44.97585535,6803400
17-11-2014,45.07291412,45.18488554,44.70713401,44.78924809,9017600
18-11-2014,45.18487549,45.40135749,44.93853616,45.05050755,8897800
19-11-2014,45.23712158,45.37895597,44.90120463,45.12515021,9210100
20-11-2014,44.8788147,44.97585884,44.6026152,44.93853505,10917300
21-11-2014,45.12516022,45.58798157,45.01318598,45.58798157,12340500
24-11-2014,45.50587082,45.76714312,45.31178535,45.31178535,8335000
25-11-2014,45.01318359,45.65516313,44.75191418,45.65516313,14802600
26-11-2014,45.04305267,45.21474444,44.93854489,45.21474444,7626600
28-11-2014,44.90868759,45.20728373,44.81164342,45.08784584,6759600
01-12-2014,44.78923416,44.9459958,44.45331434,44.77430407,12771600
02-12-2014,45.59545135,45.67756258,44.7892436,44.79670722,12546600
03-12-2014,45.93883896,45.99855647,45.39390345,45.50587487,12115500
04-12-2014,45.81939316,45.96122473,45.41628932,45.61037477,11515200
05-12-2014,46.80476379,47.07349973,46.19264431,46.28968563,20071100
08-12-2014,46.78236008,47.14814013,46.47630038,46.73010619,15528200
09-12-2014,46.61813354,46.91672676,45.95376029,46.17023945,19676400
10-12-2014,45.29685974,46.46138122,45.0654476,46.40166085,29620600
11-12-2014,45.6402359,46.32700574,45.61784219,45.66262961,16886200
12-12-2014,44.81909943,45.69995469,44.75937907,45.18487662,17405400
15-12-2014,44.16218567,45.39389077,43.88598618,45.34163689,19209900
16-12-2014,43.61725235,44.6847294,43.37837665,43.60978588,20709700
17-12-2014,44.61754608,44.66233634,43.55006902,43.72176076,17856400
18-12-2014,45.89403915,45.89403915,45.11769167,45.2669897,18173400
19-12-2014,46.2299614,46.54348471,45.81192746,45.83432401,22756400
22-12-2014,46.23742294,46.52855539,45.99108361,46.40165106,17073400
23-12-2014,46.64052963,47.00630969,46.22996216,46.31953984,13552600
24-12-2014,46.64052963,46.93165925,46.48376797,46.83461794,7412500
26-12-2014,46.69277954,46.94658533,46.58827178,46.78235722,6086500
29-12-2014,46.99884033,47.28250631,46.46883503,46.5957365,10601200
30-12-2014,47.14066315,47.23770442,46.70769925,46.81967345,7518100
31-12-2014,46.71518326,47.39448668,46.71518326,47.25265225,18529400
02-01-2015,46.94808197,47.30118609,46.63253889,46.71518119,12600000
05-01-2015,45.4905777,46.79030816,45.25016529,46.62502642,20100600
06-01-2015,44.31105804,45.64084091,43.83774482,45.5581986,29074100
07-01-2015,44.37866211,44.99471915,44.07814522,44.99471915,23843200
08-01-2015,45.37037659,45.75353587,45.05483634,45.05483634,16971100
09-01-2015,44.58151245,45.67088264,44.54394855,45.61829261,15396200
12-01-2015,44.19836807,44.62660291,43.77764487,44.5364461,15455200
13-01-2015,44.20586777,44.8519771,43.85276084,44.52140794,21644700
14-01-2015,42.6807518,44.20586836,41.52376544,44.20586836,49602300
15-01-2015,41.31340408,42.53049207,40.94527103,41.86935662,42458100
16-01-2015,42.01961517,42.0722052,41.05045119,41.06547732,29368900
20-01-2015,41.85432816,42.36520513,41.63645356,42.10225501,23477700
21-01-2015,41.98955917,42.38774159,41.46365608,41.65899291,21842400
22-01-2015,43.26675415,43.3719342,42.0421517,42.35769472,31423500
23-01-2015,42.58309174,43.47712526,42.5680656,43.36443355,15458300
26-01-2015,42.65070343,42.81598803,42.22246866,42.38023876,12577700
27-01-2015,42.22246933,42.5304979,41.89190012,42.10977476,15220500
28-01-2015,41.13308334,42.58307172,41.13308334,42.53799333,24354400
29-01-2015,41.82428741,41.98957203,41.08051237,41.52377332,20393300
30-01-2015,40.85512161,41.696565,40.84760711,41.31340864,26943700
02-02-2015,41.67402649,41.80925882,40.77247858,40.96781258,20308900
03-02-2015,42.61314392,42.65821946,41.97454609,42.00459836,18812500
04-02-2015,42.35770416,42.8760929,42.28257349,42.31262576,14934100
05-02-2015,42.65070343,42.85355193,42.41780266,42.7183196,11293900
06-02-2015,43.49213791,44.12322105,43.2291878,43.38695786,25214000
09-02-2015,43.43956375,43.64992392,42.99630278,43.13904677,14372400
10-02-2015,43.92037201,44.10819434,43.61234351,43.89031975,16367300
11-02-2015,43.85276413,44.07063876,43.45458164,43.61986624,13061900
12-02-2015,44.75431824,44.85949832,43.98800255,44.27349338,23211300
13-02-2015,44.82943344,45.24264487,44.58150945,44.67166337,16479100
17-02-2015,45.15248871,45.18254097,44.56648393,44.5965362,15308800
18-02-2015,44.6040535,45.15249445,44.41623114,45.15249445,14278100
19-02-2015,44.49887085,44.6866932,44.17581618,44.43876919,11256500
20-02-2015,44.92711258,44.99472875,43.83774221,44.29602927,15379000
23-02-2015,44.58903122,44.72426356,44.17582256,44.70172579,16814000
24-02-2015,45.6934166,46.01647124,45.1374641,45.26518191,22937700
25-02-2015,45.93383789,46.03150632,45.64083545,45.64834709,18307900
26-02-2015,46.26440048,46.3545544,45.76103512,45.85118904,15444800
27-02-2015,46.03900146,46.5198261,45.9263098,45.9263098,15225900
02-03-2015,46.40714645,46.45222485,45.85119104,46.03901339,13047300
03-03-2015,46.55740356,46.5724297,46.20429664,46.31699119,13706900
04-03-2015,46.6776123,46.7076617,46.09160461,46.30947923,16625500
05-03-2015,46.57994461,46.75274084,46.27942769,46.73020307,10931300
06-03-2015,45.74600983,47.23356245,45.67839367,46.70014768,22719200
09-03-2015,46.20429611,46.30196453,45.67839298,45.70844524,13001500
10-03-2015,45.0473175,45.8361709,45.0473175,45.64834853,16357700
11-03-2015,45.25767899,45.56570755,45.04731598,45.17503669,13015600
12-03-2015,46.10663223,46.16673676,45.56570578,45.56570578,18159600
13-03-2015,45.82866287,46.47477235,45.40042806,46.12917984,16506200
16-03-2015,46.46724701,46.51983704,46.01647453,46.20429687,15182900
17-03-2015,46.28695679,46.3245207,45.76856508,46.08410823,11718300
18-03-2015,46.39212036,46.61750661,45.89626947,46.12165572,15697900
19-03-2015,45.97891235,46.31699316,45.64834318,46.25688863,11523800
20-03-2015,46.39212036,46.6550705,45.94134787,46.06906569,18368300
23-03-2015,45.93383789,46.64005183,45.91881176,46.39212493,15112900
24-03-2015,45.422966,46.00897381,45.41545437,45.80612528,12128700
25-03-2015,44.78436661,45.55819386,44.76934047,45.47555156,14950900
26-03-2015,44.73176956,44.9195919,44.2284042,44.67166504,14039600
27-03-2015,44.7392807,44.91207691,44.32607213,44.69420517,11755800
30-03-2015,45.79861069,46.17425547,45.53566049,45.73850901,20656500
31-03-2015,45.51311874,45.78358055,45.39290967,45.61829881,17346700
01-04-2015,45.33917618,45.80807093,45.17279296,45.68706574,18100600
02-04-2015,45.77024841,45.90637959,45.3769809,45.42992048,12697800
06-04-2015,45.73244476,45.94420313,45.11229279,45.31648671,12025200
07-04-2015,46.01982498,46.51141015,46.01982498,46.24671222,11505500
08-04-2015,46.17108536,46.55679138,46.08789375,46.1786498,11734000
09-04-2015,46.48871231,46.57190389,46.0046917,46.33745515,11728500
10-04-2015,46.66266251,46.72316365,46.284521,46.39796172,9869700
13-04-2015,46.94248962,47.09374681,46.51140851,46.61728768,15468700
14-04-2015,47.67609024,48.1071714,47.44920587,47.6155862,33775400
15-04-2015,48.56093979,48.76513947,47.65339944,47.70634192,28732200
16-04-2015,48.25841141,48.60629795,48.14496782,48.46260813,16640500
17-04-2015,47.52482986,47.94834944,47.26013193,47.83490582,20221200
20-04-2015,47.8273468,48.03910516,47.75171676,47.81222079,12755300
21-04-2015,47.12400436,48.09960744,46.98787317,47.89541353,14985100
22-04-2015,47.60045242,47.75927405,46.91223499,47.38113254,14484700
23-04-2015,47.49457169,47.8046476,47.34331451,47.48701013,12851300
24-04-2015,47.3433075,47.52481666,47.14667521,47.36599794,9597500
27-04-2015,47.14669418,47.75928461,47.12400661,47.41895659,11146400
28-04-2015,47.46432877,47.47945477,46.71561007,47.26013486,12307800
29-04-2015,48.09960175,48.31892453,47.23743951,47.31306955,17601200
30-04-2015,47.84246063,48.31135816,47.5853243,48.08447384,16840900
01-05-2015,48.10715866,48.30379096,47.89540036,48.17522424,11640100
04-05-2015,48.94665146,49.0600951,48.12986419,48.16011621,14972500
05-05-2015,48.70462799,49.40040699,48.6214364,48.78781959,17692400
06-05-2015,48.34161377,49.21134048,47.96347222,48.80294692,18087900
07-05-2015,48.78025436,48.85588151,47.8349006,48.15253808,15039900
08-05-2015,49.52898026,49.64998832,48.85588874,49.13571557,16802600
11-05-2015,49.49872589,49.64242152,49.21890484,49.35503603,13798800
12-05-2015,49.43067551,49.56680673,48.97690669,49.39285903,12762200
13-05-2015,49.55166626,49.63485786,49.20377673,49.4760391,11874100
14-05-2015,49.95250702,50.05082176,49.69536773,49.78612379,11855500
15-05-2015,49.8239212,50.03568529,49.49116061,50.01299195,11152100
18-05-2015,50.23231506,50.3230711,49.7634233,49.7634233,10510900
19-05-2015,50.67852402,50.81465518,50.34575766,50.49701195,14282700
20-05-2015,50.27770996,50.69366226,50.21720592,50.63315822,12446000
21-05-2015,50.4062767,50.42896428,49.92225591,50.02057065,12934500
22-05-2015,50.27013397,50.54239632,50.15669036,50.39113626,9296900
26-05-2015,49.71049118,50.13400787,49.39284789,50.06593939,15571300
27-05-2015,50.27013397,50.40626515,49.77854885,49.87686357,10963700
28-05-2015,50.06594086,50.21720094,49.71805131,50.18694893,11797400
29-05-2015,49.7483139,50.0810804,49.43067631,50.05082837,14310700
01-06-2015,49.97517776,50.41382325,49.89198618,49.9071093,11899300
02-06-2015,49.92979431,50.20962106,49.59703376,49.78610448,12784200
03-06-2015,50.44406891,50.7692708,50.11886702,50.23987506,12927300
04-06-2015,50.16426086,50.70878564,49.9222505,50.14913197,13863300
05-06-2015,50.98860168,51.30623918,50.67852864,50.95079099,20801100
08-06-2015,50.58777237,51.08692195,50.52726834,51.01885347,14558700
09-06-2015,50.80709457,50.87515728,50.27013431,50.63314694,13263500
10-06-2015,51.62388992,51.80539627,51.02642554,51.11717582,17478900
11-06-2015,51.82051849,51.94152657,51.54069742,51.69951619,13739900
12-06-2015,51.61631775,51.83564052,51.32893227,51.66169289,11804700
15-06-2015,51.41969299,51.58607622,50.89786151,51.10961988,14082300
16-06-2015,51.70708466,51.82052252,51.13987225,51.25331012,11692800
17-06-2015,51.53313446,51.94152806,51.4575073,51.73733415,14521900
18-06-2015,52.01715088,52.0474029,51.35162383,51.69194891,16759600
19-06-2015,51.48775864,51.93396293,51.36675056,51.77514416,21606400
22-06-2015,52.15328217,52.40285697,51.99446341,52.08521946,14306700
23-06-2015,52.75073242,52.80367199,52.32721584,52.44821811,15736900
