date,close,cash,shares_held,portfolio_value,action,reward
2024-01-29,190.8045502,49603.150120460305,262.3369644553359,99658.23662419405,1,-0.8960867883227503
2024-01-30,190.1203613,49649.5837928045,262.09248694551593,99478.70210490152,1,-0.31580531851095905
2024-01-31,186.4613342,48779.47830375793,266.7542376324515,98518.8293562087,1,-1.903614636650855
2024-02-01,182.8518829,48296.09534824592,269.395173278275,97555.51002635027,1,-1.3516245184795337
2024-02-02,185.2912598,49433.77255981407,263.24908722529574,98211.5275729892,1,1.344841576974113
2024-02-05,184.2897339,48841.52134793478,266.45957290893136,97947.28513442939,1,-0.3928304114734193
2024-02-06,186.1043854,49456.5581784003,263.1514698697406,98430.200745615,1,0.8816407604137929
2024-02-07,187.7107849,49637.64549384648,262.18578969251064,98852.74586665398,1,0.7125553867440765
2024-02-08,187.81987,49454.790824416756,263.1583811304256,98881.16375774375,1,0.04721733704636366
2024-02-09,186.7390137,49155.84683938955,264.75764704583463,98596.42871826142,1,-0.5062267341288178
2024-02-12,187.5035248,49500.27974142743,262.9188673211049,98798.49410055813,1,0.3728535652661903
2024-02-13,185.8156281,48954.92234918037,265.8508735535096,98354.16939945944,1,-0.8579225874175286
2024-02-14,183.7206726,48619.804166599795,267.6731148638834,97796.88886632951,1,-1.0055399083827254
2024-02-15,182.8370209,48661.87251970743,267.44279792170227,97560.31695287218,1,-0.44165179667500665
2024-02-16,182.5490875,48703.11148208237,267.2166656348588,97483.26995851846,1,-0.16130426483242138
2024-02-20,181.0101471,48330.03174993533,269.27570503730743,97071.66672919456,1,-0.7644420525023244
2024-02-21,180.2654724,48335.30528092153,269.24642150493867,96871.13864551882,1,-0.4319950124571718
2024-02-22,181.0200806,48638.44144064837,267.57014560051744,97074.01076340777,1,0.6125342137276342
2024-02-23,183.0554352,49081.162344306846,265.14921738693005,97618.16772601072,1,1.8465617780480714
2024-02-26,181.2186279,48321.29673842039,269.33811622246236,97130.38060142574,1,-1.009543042517115
2024-02-27,179.8683472,48201.38845210551,270.00409497682244,96766.57875281837,1,-0.7321957811545247
2024-02-28,181.3278809,48776.79347116581,266.82763365602864,97160.082847575,1,1.2362334735451836
2024-02-29,180.1264954,48258.96125881639,269.69958703691907,96839.0026826039,1,-0.6852376945213414
2024-03-01,179.4612885,48240.07644913409,269.8047124592107,96659.57779043604,1,-0.41488309572035253
2024-03-04,178.3790436,48037.5918388351,270.93871522034567,96367.38073405312,1,-0.6551428179478429
2024-03-05,173.8515472,46955.93573371624,277.15422234117773,95139.62610074278,1,-0.28256025505631316
2024-03-06,168.9070587,46198.670676730566,281.63306741881826,93768.48372710196,1,0.30687558772891255
2024-03-07,167.9141693,46604.20543552186,279.2155186128833,93488.44729907284,1,-0.524758736210342
2024-03-08,167.7950439,46710.85523264178,278.5792867481494,93455.07888217819,1,-0.08371231600857848
2024-03-11,169.5127106,47205.55061467354,275.6580275053964,93933.09005576264,1,1.7468074127707613
2024-03-12,171.5183105,47519.09088615473,273.8281696628613,94485.63591403604,1,1.6107450619023564
2024-03-13,171.994873,47373.16841743096,274.67573383433364,94615.98637444898,1,0.2578318864009719
2024-03-14,169.9098511,46734.65038663068,278.4299608348282,94042.64357385517,1,-0.861759139763221
2024-03-15,171.76651,47537.467630873114,273.75139535016217,94558.7894178007,1,1.3453501787439046
2024-03-18,171.3892212,47175.75001719294,275.859790819216,94455.14472609329,1,-0.18879326249702635
2024-03-19,172.4813843,47528.50314112294,273.8125772512521,94756.0755041696,1,0.6616189274935929
2024-03-20,174.8245697,48019.14025719199,271.00331397003174,95397.17800927679,1,1.4531276865658833
2024-03-21,177.3960724,48395.09842372024,268.88187748083647,96093.68742835864,1,1.2726359041297255
2024-03-22,170.1481476,46095.710995777794,282.3824084593168,94142.55470995713,1,-5.591530472754414
2024-03-25,171.0516357,47325.17580516599,275.1875313109243,94396.45316014456,1,0.3470105507725606
2024-03-26,169.6318512,46807.001932307125,278.2391764647103,94005.2285123794,1,-0.4957910103420526
2024-03-27,168.4999695,46687.56110261804,278.9473161073166,93690.17535880776,1,-0.4191976959938854
2024-03-28,172.074295,47840.98160944091,272.2375685421456,94686.0692888448,1,1.9261932609671182
2024-04-01,170.2573547,46847.40264858968,278.0674862935739,94190.43729301207,1,-0.6604605939386229
2024-04-02,168.8177032,46694.74586848645,278.97085290108384,93789.96451499249,1,-0.5387173587402676
2024-04-03,167.6361847,46565.243660998174,279.7426005693164,93460.22591849443,1,-0.46164958913581317
2024-04-04,168.4403992,46954.69617253887,277.4281774514294,93684.80913178608,1,0.3833260324699583
2024-04-05,167.616333,46613.444471137096,279.46205317528955,93455.84903703013,1,-0.3560606406527416
2024-04-08,168.3709106,46938.474968038405,277.52967749593597,93666.39948655348,1,0.38882672675177016
2024-04-09,167.2489777,46521.41342246699,280.0208431006555,93354.61316574372,1,-0.5189016421812072
2024-04-10,168.4602509,47015.993250658,277.08201984443235,93693.29983352986,1,0.7097554510048152
2024-04-11,166.583725,46326.00903518197,281.2198485582246,93172.6589519469,1,-0.8938306307115497
2024-04-12,173.7919769,48611.14555971251,268.05799845857814,95197.47503568596,1,6.818576014204965
2024-04-15,175.291214,48000.00948853819,271.54092000208857,95598.74700638118,1,0.4629369609448554
2024-04-16,171.458725,46757.4546006584,278.78064241519695,94556.828103849,1,-1.6861580901684874
2024-04-17,168.1723328,46361.83630010272,281.1307500155251,93640.25035202721,1,-1.1590554485367188
2024-04-18,166.8021698,46434.857130256,280.69254274181276,93254.98230626961,1,-0.45472985777842995
2024-04-19,165.848999,46359.86830370291,281.144242258193,92987.35945683772,1,-0.33330552337379815
2024-04-22,163.8235779,45923.80862394991,283.80334701760205,92417.48835236877,1,-0.6962487379501414
2024-04-23,164.6575623,46444.91011714853,280.6354201454396,92653.65429333292,1,0.373305282507512
2024-04-24,165.7099915,46621.99879144156,279.5656841649555,92948.82593810803,1,0.47505873969278334
2024-04-25,167.8148956,47062.43105073969,276.93854471553846,93536.8440197937,1,0.988129736502726
2024-04-26,168.6786957,47007.58676301777,277.26336047248,93776.00877291462,1,0.36127130393197654
2024-04-29,168.0929108,46725.30569750283,278.94099854244007,93613.31008396014,1,-0.2562677729573489
2024-04-30,172.2629547,47968.606705857965,271.71631372221015,94775.26174783803,1,1.9419675647631778
2024-05-01,169.1155548,46530.994799550805,280.2085883227047,93918.62567346983,1,-1.5529926982226483
2024-05-02,168.0929108,46672.617440732625,279.3652189925366,93631.93027746755,1,-0.4118089247404703
2024-05-03,171.7963104,47849.38823026638,272.5085598737851,94665.35336900015,1,1.5894996302589277
2024-05-06,182.0725403,50130.75364641578,259.96603664951493,97463.43033091587,1,2.0183486396066903
2024-05-07,180.4144287,48298.83237330141,270.10985494120814,97030.54753875936,1,-0.4970435497721071
2024-05-08,181.0994873,48699.91336597674,267.8929382555998,97215.18713535642,1,0.17932124615592762
2024-05-09,181.437088,48698.032532203535,267.90329421335406,97305.62609988175,1,0.09462991414997897
2024-05-10,183.2540436,49139.13989171186,265.49380354268413,97791.95294165274,1,0.47545391004744286
2024-05-13,181.9913635,48560.16433125641,268.6719607484361,97456.14080208278,1,-0.4449048714046829
2024-05-14,185.2026825,49589.83107591799,263.1067203955936,98317.90147695938,1,0.7965591655799776
2024-05-15,186.3460388,49459.64540920523,263.80464567449496,98618.59614768492,1,0.3446365279391022
2024-05-16,188.6228027,49909.46869420788,261.41748170430753,99218.76676805034,1,0.6303909068973375
2024-05-17,188.7421112,49640.303815658524,262.8421557256861,99249.68719968369,1,0.04478177613310704
2024-05-20,188.7719421,49632.67679850733,262.8825187037255,99257.52039834917,1,0.01183684983928523
2024-05-21,189.9351654,49934.24939562185,261.2931633521224,99563.00959479643,1,0.4128158711545872
2024-05-22,191.2375946,50121.6330718609,260.312335038114,99903.13786925911,1,0.47334557264110616
2024-05-23,189.7959747,49575.75215664352,263.185607669421,99527.32109127307,1,-0.8131501012241397
2024-05-24,185.7992249,48710.90954218509,267.83567354718565,98474.57008782162,1,-2.640690000212249
2024-05-28,188.8813019,50061.42334745916,260.67845016220105,99298.70839136996,1,1.0078619811726488
2024-05-29,188.8912506,49651.53813164204,262.84623579957906,99300.89232732702,1,0.003168030578488993
2024-05-30,189.1894989,49728.76230517712,262.43764295769546,99379.20846884063,1,0.11637976701832568
2024-05-31,190.1837311,49950.3064236566,261.2715816806284,99639.91065807691,1,0.3838081931663803
